wikipedia|born|institution|field|almamater|doctoraladvisor|contributions|awards|website|nationality|education|fields|institutions|doctoralstudents|influenced|schoolortradition|influences|knownfor|occupation|academicbackground|academicwork|yearsactive|spouses|chinesename|traditionalchinese|simplifiedchinese|transcriptions|standardmandarin|hanyupinyin|citizenship|academicadvisors|politicalparty|employer|thesis|died|parents|children|doctoraladvisors|causeofdeath|restingplace|othernames|partners|notablework|agent|authorabbrevbotany|notablestudents|notableworks|title|discipline|subdiscipline|organization|relatives|majorcompetitions|notes|allegiance|servicebranch|serviceyears|rank|codename|othernotablestudents|height|boardmemberof|department|notablecredits|personal|religion|denomination|synagogue|yeshiva|semicha|koreanname|hangul|hanja|revisedromanization|mccunereischauer|maininterests|predecessor|successor|networth|criminalstatus|criminalcharge|penalty|timeatlarge|details|date|locations|targets|killed|weapons|dateapprehended|genres|instruments|honours|school|lineage|dharmanames|temple|seniorposting|teacher|periodinoffice|patrons|region|chinese|otheracademicadvisors|movement|youtubeinformation|channel|location|genre|subscribers|totalviews|yuecantonese|jyutping|labels|employers|basedin|alsoknownas|areas|pseudonyms|era|signature|residence|ringnames|billedheight|billedweight|billedfrom|trainedby|debut|status|nasaastronaut|timeinspace|selection|totalevas|totalevatime|missions|missioninsignia|notableideas|origin|associatedacts|criminalcharges|haircolor|eyecolor|cnsaastronaut|organisation|personalinformation|hometown|television
Alan_Auerbach|[]||||||||['Americans']|['Yale University', 'Harvard University']||['University of California, Berkeley']|['Kevin Hassett']|||||[]|[]|[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alan_Sutherland|[]||||||||[]|['Edinburgh College of Art']|||||||['Portrait Painting']|||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Albert_Ando|[]|['University of Pennsylvania']|['Mathematical economics']|['Carnegie Mellon University']|['Franco Modigliani']||||['Japanese American']||||['Stephen Goldfeld', 'Stephen Resnick', 'William Oakland']|||['Herbert A. Simon']||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Albert_Marcet|[]|['Universitat Pompeu Fabra', 'London School of Economics', 'University College London']|['Monetary economics']|['Universitat Autonoma de Barcelona', 'University of Minnesota']||[]|||[]|||||||['Thomas Sargent']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alberto_Abadie|['Basque Country (autonomous community)']|['MIT']|['Econometrics', 'Causal inference', 'Program Evaluation']|['Massachusetts Institute of Technology', 'CEMFI', 'University of the Basque Country']|['Joshua Angrist', None, 'Whitney K. Newey', None]||||['Spain']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alberto_Alesina|['Broni', 'Lombardy']|['Harvard University']|['Political economics']|['Bocconi University']|['Jeffrey Sachs']||||[]||||['Silvana Tenreyro']|||||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alberto_Giovannini|['Bologna', 'Italy']||['Macroeconomics', 'Financial economics']|['Massachusetts Institute of Technology']|['Rudi Dornbusch', None]||||[]|||||||||||||[]||||||||||||['Milan']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alec_Smith|['Gwelo', 'Southern Rhodesia']|||||||||||||||||['Chaplain', 'Farmer']||||||||||||||||[]|['Ian Douglas Smith', 'Janet Duvenage Smith']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aleh_Tsyvinski|[None]|['Yale University']|['Macroeconomics', 'Public economics', 'Macroeconomic policy']|['Belarus State Economic University', None, 'University of Minnesota', None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alejandro_Ponce|['Arequipa', 'Perú']|||['University of the Pacific (Peru)']|||||[]|['The Wharton School']||||||||[]||||||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alessandra_Casella|||||||||||||||||['Economics', 'Political science']|||||||||||||||['Columbia University']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alexander_Ljungqvist|['Hamburg', 'Germany']|||||||[None]|['Swedish people']|||||||||['Professor']||||||||||||||['Stockholm School of Economics']|||||||||||||||[]||||||||||||||['Stockholm School of Economics', 'Sixth Swedish National Pension Fund (AP6) (page does not exist)']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alexander_Ludwig|['Vancouver, British Columbia']|||||||||['University of Southern California', 'Bachelor of Arts']||||||||[]|||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alexander_Tarasov|['Russian SFSR', 'Soviet Union']|||||||[None, None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[]||||||||||||||||||||||||||['Western philosophy', 'Russian philosophy']||||||||||||||||||['Contemporary philosophy']|||||||||||||||||||||||||||
Alexandre_Ziegler|[]|||||||||||||||||||||[]||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alice_Chen|['San Francisco Bay Area']|||||||||['Yale University', 'Bachelor of Science', 'Cornell University', 'Doctor of Medicine']||['David Geffen School of Medicine at UCLA', 'Harvard Kennedy School']||||||||||['Vivek Murthy']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alicia_Menendez|[]|||||||||['Harvard University']||||||||[]||||[]|||||||||||||['Robert Menendez']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amanda_Bayer|||||['Doctoral advisor']|||[None]||['Yale University', 'Williams College']|[]|['Swarthmore College']||||||||||[None]||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amir_Attaran|[]|||['UC Berkeley', 'Caltech', 'University of Oxford', 'University of British Columbia']|||||[]||||||||[]|['University of Ottawa']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amit_Goyal|['Rajasthan, India']||||||||['United States']|['Mayo College', 'IIT Kharagpur', 'University of Rochester', 'Purdue University', 'Tilburg University', 'MIT']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Amy_Finkelstein|['New York City']|['Massachusetts Institute of Technology']|['Public finance', 'Health economics']|['Oxford University', 'Harvard University']|['James M. Poterba', 'Jonathan Gruber (economist)']||['John Bates Clark Medal', 'Elaine Bennett Research Prize']||['United States']||||['Heidi Williams', None]|||||||||['Benjamin Olken']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrea_Beltratti|['Turin, Italy']|||['Università degli Studi di Torino', 'University of Pavia', 'Yale University']|||||['Italy']||||||||||||||||||||||||||||||||||||||['Professor', 'Bocconi University', 'Milano', 'Italy']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrea_Prat|[]|['Columbia University']|['Game theory', 'Organizational Economics', 'Political economy']|['Stanford University', 'University of Turin']|['Kenneth J. Arrow', None]||['British Academy', 'Econometric Society']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrei_Shleifer|['Moscow', 'Soviet Union']|['Harvard University', 'University of Chicago']|['Behavioral finance', 'Law and economics', 'Development economics']|['Massachusetts Institute of Technology']|['Peter A. Diamond', None, 'Franklin M. Fisher', None]|['Legal origins theory', 'Big push model']|['John Bates Clark Medal']||['Russian American']||||['Sendhil Mullainathan', 'Matthew Gentzkow', 'Jesse Shapiro', 'Emily Oster']|||['Lawrence Summers', 'Milton Friedman', None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew B_Bernard|[]||['International economics']||||||['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Davenport|['Folkestone', 'Kent']|||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Gelman|['Philadelphia, Pennsylvania']|||['Harvard University', 'Massachusetts Institute of Technology', 'Springbrook High School']|['Doctoral advisor', 'Donald Rubin']|||[None]|['United States']||['Statistics']|['Columbia University']|||||||||||||||||['United States']|||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Leach||||"['Alma mater', 'University of Guelph', ""Queen's University at Kingston""]"||||||"['University of Guelph', ""Queen's University at Kingston""]"||['University of Alberta']|||||||[]|[]|||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Levin||['Dartmouth College']|['Monetary Policy']|['Stanford University', 'Yale University']||||[None]|['United States']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Mason|[]|||['Bienen School of Music', 'Northwestern University', None]|||||[]|[None]|||||||['Groupon']|||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||['United States dollar', '1,000,000 (number)', None]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Metrick||['Yale School of Management']|['Financial economics']|['Harvard', 'Yale College']||['Financial Crises', 'Financial Stability (page does not exist)', 'Macroproduential Regulation (page does not exist)', 'Shadow banking system']|||['United States']|||||||['James Tobin', 'Eric Maskin']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Moffat|[None]|||['University of Derby', 'Bachelor of Arts', 'University of Birmingham', 'Master of Arts', 'Doctor of Philosophy', None]||||[None]||['John Willmott School', 'Sutton Coldfield', 'Birmingham Metropolitan College']|||||||[]|[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Scott|[]|||[]||||[None]|||[]|['London Business School', 'London School of Economics', 'Harvard University', 'University of Oxford', 'All Souls College, Oxford', 'Trinity College, Oxford', 'Centre for Economic Policy Research']|||||[]|||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Andrew_Weiss|[]||||||||||['Economics', 'Econometrics', 'Corporate Finance']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Angela_Redish|[]|||||||||['Wilfrid Laurier University', 'University of Western Ontario']||['University of British Columbia']|||||||[]|[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Angus_Deaton|['Edinburgh', 'Scotland', 'United Kingdom']|||['Fitzwilliam College, Cambridge', 'University of Cambridge']|['Doctoral advisor', 'Richard Stone']||['Frisch Medal', 'Nobel Memorial Prize in Economic Sciences', 'Member of the National Academy of Sciences']||['United Kingdom', 'United States of America']|['Hawick High School', 'Fettes College']|['Microeconomics']|['University of Bristol', 'Princeton University', 'University of Southern California']||||||||||['Anne Case']|||||||['United Kingdom', 'United States']||||['Thesis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anil_Kashyap||['University of Chicago Booth School of Business']||['Massachusetts Institute of Technology', 'University of California at Davis']|['Olivier Blanchard']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anil_Kumar|['Chennai', 'Tamil Nadu', 'India']|||['IIT Bombay', 'Imperial College', 'Wharton School of the University of Pennsylvania']|||||||||||||['Indian School of Business', 'Knowledge Process Outsourcing', 'Business Process Outsourcing']|['Consultant', 'Management']||||[]|||||||[]|||['McKinsey & Company']||||[]||||||||||||||||||||||||||||||||||||||||||['US Dollar', 'Wikipedia:Citation needed']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anindya_Sen|[]|['Indian Institute of Management Calcutta']|[]|['Presidency College, Kolkata', 'University of Calcutta', 'University of Southern California']|||||['India']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anirban_Basu|[]|||['Ballygunge Government High School', 'Viswa Bharati University', 'Indian Institute of Chemical Biology', 'Penn State Milton S. Hershey Medical Center']|||['National Bioscience Award for Career Development', 'VASVIK Industrial Research Award', 'Indian Council of Medical Research', 'National Academy of Sciences, India', 'Reliance Industries', 'Indian Science Congress Association']||['Indian nationality']||['Neurobiology', 'Neurovirology']|['National Brain Research Centre']|||||['Japanese encephalitis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ann_Bartel||||['University of Pennsylvania', 'Columbia University']||||[None]|||['Labor economics']|['Columbia Business School', 'University of Pennsylvania']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anna_Mikusheva|[]|||['Moscow State University', 'New Economic School', 'Harvard University']|['Doctoral advisor', 'James H. Stock']||['Elaine Bennett Research Prize']|[None]|||[]|['Massachusetts Institute of Technology']|['Isaiah Andrews']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anna_Pavlova|['Saint Petersburg', 'Russian Empire']||||||||['Russia']|||||||||['Ballerina']|||[]|||||||||||||['The Hague', 'Netherlands']|[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anna_Wong|['Los Angeles', 'California']||||||['Hollywood Walk of Fame', 'Vine Street']|||||||||||[]|||[]|||||||||||||['Santa Monica, California']|[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Annamaria_Lusardi|['Italy']|['The George Washington University']|['Financial literacy']|['Princeton University', 'Bocconi University']|||||['Italy']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anne Morrison_Piehl|[]||||||[]|||['Harvard University', 'Princeton University']|['Criminology', 'Economics']|['Rutgers University']|||||||||||||||||||||['Thesis', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anne_Case|[]||['Development economics', 'Health economics']|['University at Albany, SUNY', 'Princeton University', 'Master of Public Affairs', 'Ph.D']|||||[]|||||||||||||['Angus Deaton']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anne_Preston|['Greenwich, Connecticut', 'Connecticut']|[]|||||[]||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Anthony_Venables|[]|['University of Oxford', 'International Growth Centre']|[]|['University of Cambridge', 'University of Oxford']|||||['United Kingdom']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antoinette_Schoar||||||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonio_Merlo|['Legnano', 'Italy']|['New York University']|['Political economy']|['Bocconi University', 'Laurea', 'New York University', 'Ph.D.']|||||['Americans']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Antonio_Moreno|['Madrid']|||||||||||||||||[]|||[]|[]||||||||||||['Beverly Hills, California']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aparna_Das|['Palakkad']||||||||['India']|[]|||||||['Njan Prakashan']|['Actress']|||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ariel_Kalil|['Madison, Wisconsin']|['University of Chicago', 'Harris School of Public Policy']|['Behavioral economics', 'Developmental psychology']|['University of Michigan', 'University of Colorado', 'University of Wisconsin']|['Greg Duncan', 'Sheldon Danziger']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ariel_Pakes|[]|['Harvard University', 'Yale University', 'University of Wisconsin-Madison']||['Harvard University', 'Hebrew University of Jerusalem']|['Zvi Griliches', None]||['Frisch Medal', 'BBVA Foundation Frontiers of Knowledge Award']||||||['Steven T. Berry', None, 'Samuel S. Kortum (page does not exist)', None, 'Matthew Gentzkow', 'Emi Nakamura', None]||||||||||||||||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Arindrajit_Dube||||||||[None]||['Stanford University', 'Bachelor of Arts', 'Master of Arts', 'University of Chicago', 'Doctor of Philosophy']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Armin_Falk|[]|['University of Bonn']|['Microeconomics', 'Behavioral economics']|['University of Cologne', 'University of Zurich']|['Ernst Fehr']||['Yrjö Jahnsson Award', 'Gottfried Wilhelm Leibniz Prize', 'Gossen Prize']||['Germany']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Arnold_Kling|[]|||['Swarthmore College', 'MIT']|||||||['Economics']|['Federal Reserve System', 'Freddie Mac', 'Cato Institute']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Arpita_Chatterjee|['Kolkata', 'West Bengal']|||||||||||||||||[]||||['Prosenjit Chatterjee']||||||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Arunima_Sinha|['Ambedkar Nagar', 'Uttar Pradesh', 'India']||||||['Padma Shri', 'Tenzing Norgay National Adventure Award', None, 'Wikipedia:Citation needed']|||||||||||['Motivational Speaker', 'Mountaineering', 'Volleyball']||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ashish_Arora|[]|||['Rajasthan University', 'University of Virginia']|['Doctoral advisor']||['National Academy of Sciences, India', 'National Bioscience Award for Career Development']||['Indian nationality']||['Structural biology']|['Central Drug Research Institute']|||||['Tuberculosis', 'Visceral leishmaniasis']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ashoka_Mody|['India']|['Princeton University']|[]|['Boston University']|||||['India']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Asim Ijaz_Khwaja|['London', 'United Kingdom']|['Harvard University']|['Development economics']|['Harvard University', 'Massachusetts Institute of Technology', 'Aitchison College']|||[]||['Pakistan', 'United States', 'United Kingdom']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Assar_Lindbeck|['Umeå', 'Sweden']||['Economics']|||['Insider-outsider theory of employment']|||[]||||||['Stockholm school (economics)']|||||||||||||||||||['Stockholm']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Athanasios_Orphanides|[]|['MIT Sloan School of Management']|['Monetary economics']|['Massachusetts Institute of Technology']|||||[]|||||||['Milton Friedman']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Attila_Ambrus|['Leliceni', 'Transylvania', 'Romania']||||||||[]|||||||||||||||||||||||||||||||[]|||||||['Bank robbery']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Augustin_Landier|[]|||||||[None]||||||||||[]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Austin_Nichols|['Ann Arbor, Michigan']|||||||||||||||||[]|||[]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Avanidhar_Subrahmanyam||||['Ph.D.', 'Finance']|||||||||||||['Economics', 'Finance']|[]||||||||||||||['University of California']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Avi_Weiss|[]|||['Alma mater', 'Yeshiva University', 'RIETS']|||||[]|||||||||['Rabbi']||||||||||||||||||||||||||||||||||||||||||||||[]|['Judaism']|['Open Orthodox']|['Hebrew Institute of Riverdale']|['Yeshivat Chovevei Torah', 'Yeshivat Maharat']|['Semicha', 'Rabbi Isaac Elchanan Theological Seminary']|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Avinash_Dixit|['Mumbai', 'Bombay Presidency', 'British India']|['Princeton University', 'Lingnan University (Hong Kong)', 'Nuffield College, Oxford', 'University of Warwick']|['Economics']|"[""St. Xavier's College, Mumbai"", 'University of Mumbai', 'University of Cambridge', 'Massachusetts Institute of Technology']"|['Robert Solow', None]||['Padma Vibhushan', 'John von Neumann Award']||['United States']||||['Vijay Kelkar', 'Robert Helsley', 'Dani Rodrik', None]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
